,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,屯門北,1期,2座,石排頭徑1號,中層,D室,7720000.0,652.0,11840.0,520,14846,2021-04-14,2.0
1,新界西,置樂,凱德花園,3座,榮發里13-17號,低層,H室,4200000.0,438.0,9589.0,312,13462,2021-04-13,2.0
2,新界西,屯門北,1期,4座,震寰路11號,低層,A室,5000000.0,544.0,9191.0,428,11682,2021-04-13,2.0
3,新界西,藍地,綠怡居,3座,福亨村路138號,中層,H室,5300000.0,594.0,8923.0,482,10996,2021-04-12,
4,新界西,屯門市中心,康麗花園,2座,屯門鄉事會路153號,8樓,A室,4950000.0,469.0,10554.0,362,13674,2021-04-12,
5,新界西,屯門市中心,錦華花園,A座,屯隆街1號,23樓,5室,5300000.0,483.0,10973.0,353,15014,2021-04-12,
6,新界西,屯門南,新屯門中心,9座,龍門路55-65號,25樓,B室,5418000.0,555.0,9762.0,462,11727,2021-04-12,2.0
7,新界西,屯門北,新圍苑,新碧閣 (C座),田景路23號,十樓,4室,6100000.0,826.0,7385.0,0,0,2021-04-12,3.0
8,新界西,屯門碼頭,悅湖山莊,2座,湖秀街2號,20樓,F室,5250000.0,582.0,9021.0,484,10847,2021-04-12,2.0
9,新界西,屯門市中心,2期,2座,屯隆街3號,12樓,E室,5130000.0,448.0,11451.0,325,15785,2021-04-12,
10,新界西,屯門市中心,,海盛大廈,德政圍18號,12樓,D室,4250000.0,448.0,9487.0,320,13281,2021-04-12,2.0
11,新界西,屯門碼頭,慧豐園,1座,湖翠路280號,15樓,B室,5880000.0,650.0,9046.0,476,12353,2021-04-12,2.0
12,新界西,屯門北,盈豐園,2座,良德街9號,33樓,H室,5090000.0,571.0,8914.0,415,12265,2021-04-12,
13,新界西,屯門北,2期,5座,石排頭徑1號,37樓,B室,8180000.0,679.0,12047.0,524,15611,2021-04-12,2.0
14,新界西,屯門北,澤豐花園,澤國樓 (1座),青松觀路33號,7樓,H室,5000000.0,645.0,7752.0,579,8636,2021-04-12,3.0
15,新界西,屯門南,恆福花園,3座,青山公路青山灣段333號,21樓,C室,6880000.0,776.0,8866.0,624,11026,2021-04-12,3.0
16,新界西,屯門市中心,錦華花園,A座,屯隆街1號,34樓,7室,5280000.0,459.0,11503.0,330,16000,2021-04-12,
17,新界西,屯門碼頭,啟豐園,3座,湖翠路138號,12樓,H室,4900000.0,473.0,10359.0,330,14848,2021-04-12,
18,新界西,置樂,置樂花園,樂昌苑 (6座),青海圍18號,7樓,H室,4980000.0,587.0,8484.0,511,9746,2021-04-12,3.0
19,新界西,屯門新墟,偉景花園,C座,景峰徑3號,14樓,D室,4500000.0,525.0,8571.0,417,10791,2021-04-12,
20,新界西,屯門北,海麗花園,2座,良德街12號,22樓,E室,5680000.0,603.0,9420.0,457,12429,2021-04-12,2.0
21,新界西,屯門碼頭,兆禧苑,雅禧閣 (D座),湖翠路201號,十七樓,6室,4480000.0,567.0,7901.0,0,0,2021-04-12,2.0
22,新界西,兆康,,倚嶺南庭,屯貴路3號,3樓,E室,5628000.0,780.0,7215.0,572,9839,2021-04-12,2.0
23,新界西,屯門南,嘉悅半島,1座,恆貴街1號,7樓,F室,7600000.0,855.0,8889.0,0,0,2021-04-12,3.0
24,新界西,屯門市中心,,慧景閣,育康街8號,29樓,H室,6288000.0,670.0,9385.0,478,13155,2021-04-12,2.0
25,新界西,屯門市中心,2期,6座,屯門鄉事會路83號,35樓,B室,8580000.0,,,485,17691,2021-04-12,2.0
26,新界西,屯門新墟,1期,1A座,景秀里8號,29樓,H室,6717200.0,,,387,17357,2021-04-12,
27,新界西,屯門南,兆安苑,定賢閣 (G座),屯興路2號,中層,8室,4850000.0,672.0,7217.0,563,8615,2021-04-10,2.0
28,新界西,屯門碼頭,啟豐園,3座,湖翠路138號,低層,B室,5670000.0,581.0,9759.0,410,13829,2021-04-10,
29,新界西,屯門南,恆福花園,1座,青山公路青山灣段333號,中層,A室,5328000.0,554.0,9617.0,437,12192,2021-04-09,2.0
30,新界西,屯門碼頭,兆山苑,葵景閣 (D座),湖山路2-26號,高層,1室,4500000.0,670.0,6716.0,546,8242,2021-04-09,2.0
31,新界西,藍地,豫豐花園,6座,福亨村道8號,中層,A室,5150000.0,485.0,10619.0,361,14266,2021-04-09,2.0
32,新界西,屯門南,新屯門中心,6座,龍門路55-65號,中層,F室,5470000.0,547.0,10000.0,455,12022,2021-04-09,2.0
33,新界西,屯門北,1期,3座,石排頭徑1號,中層,F室,9610000.0,857.0,11214.0,679,14153,2021-04-09,3.0
34,新界西,兆康,疊茵庭,6座,屯安里1號,高層,A室,5350000.0,548.0,9763.0,376,14229,2021-04-09,2.0
35,新界西,屯門南,龍門居,11座,龍門路43號,高層,F室,3435000.0,505.0,6802.0,431,7970,2021-04-09,2.0
36,新界西,屯門碼頭,悅湖山莊,5座,湖秀街2號,中層,J室,5350000.0,582.0,9192.0,484,11054,2021-04-09,2.0
37,新界西,屯門市中心,1期,5座,屯門鄉事會路83號,高層,D室,10900000.0,838.0,13007.0,646,16873,2021-04-09,3.0
38,新界西,屯門碼頭,,䨇寓,湖安街8號,16樓,SD室,7800000.0,,,529,14745,2021-04-09,2.0
39,新界西,屯門南,兆麟苑,寶麟閣 (B座),兆興里3號,三十二樓,7室,5500000.0,826.0,6659.0,645,8527,2021-04-09,3.0
40,新界西,屯門北,寶怡花園,1座,良德街11號,25樓,D室,5500000.0,590.0,9322.0,0,0,2021-04-09,2.0
41,新界西,屯門市中心,2期,8座,屯門鄉事會路83號,9樓,C室,8000000.0,,,484,16529,2021-04-09,2.0
42,新界西,屯門新墟,1期,1A座,景秀里8號,30樓,H室,6947000.0,,,387,17951,2021-04-09,
43,新界西,兆康,疊茵庭,1座,屯安里1號,4樓,B室,6360000.0,715.0,8895.0,499,12745,2021-04-09,3.0
44,新界西,屯門新墟,景峰花園,3座,景峰徑2號,14樓,J室,4200000.0,466.0,9013.0,405,10370,2021-04-09,
45,新界西,藍地,綠怡居,5座,福亨村路138號,7樓,F室,5700000.0,622.0,9164.0,509,11198,2021-04-09,
46,新界西,兆康,聚康山莊,5座,屯貴路,25樓,B室,7750000.0,796.0,9736.0,614,12622,2021-04-09,3.0
47,新界西,屯門南,恆福花園,3座,青山公路青山灣段333號,7樓,A室,5150000.0,554.0,9296.0,437,11785,2021-04-09,2.0
48,新界西,屯門北,海麗花園,1座,良德街12號,29樓,D室,5850000.0,638.0,9169.0,484,12087,2021-04-09,2.0
49,新界西,屯門北,2期,3座,河興街3號,10樓,H室,5180000.0,535.0,9682.0,419,12363,2021-04-09,2.0
50,新界西,置樂,龍成花園,3座,青山公路青山灣段345號,11樓,E室,7900000.0,945.0,8360.0,692,11416,2021-04-09,3.0
51,新界西,屯門市中心,2期,1座,屯隆街3號,18樓,E室,4880000.0,448.0,10893.0,335,14567,2021-04-09,
52,新界西,屯門市中心,2期,8座,屯門鄉事會路83號,37樓,B室,8680000.0,,,485,17897,2021-04-09,2.0
53,新界西,屯門市中心,1期,3座,屯門鄉事會路83號,41樓,D室,8800000.0,626.0,14058.0,481,18295,2021-04-09,2.0
54,新界西,屯門碼頭,悅湖山莊,14座,湖秀街2號,10樓,J室,4950000.0,582.0,8505.0,0,0,2021-04-09,2.0
55,新界西,屯門市中心,錦華花園,B座,屯隆街1號,26樓,2室,5160000.0,480.0,10750.0,348,14828,2021-04-09,
56,新界西,屯門南,新屯門中心,3座,龍門路55-65號,31樓,H室,6900000.0,750.0,9200.0,597,11558,2021-04-09,3.0
57,新界西,屯門新墟,1期,1B座,景秀里8號,30樓,B室,6058500.0,,,306,19799,2021-04-09,
58,新界西,屯門新墟,,嘉華大廈,青山公路新墟段11-17號,12樓,B室,3650000.0,326.0,11196.0,0,0,2021-04-09,
59,新界西,屯門北,1期,3座,震寰路11號,27樓,C室,5910000.0,638.0,9263.0,515,11476,2021-04-09,3.0
60,新界西,藍地,豫豐花園,13座,福亨村道8號,11樓,F室,5000000.0,531.0,9416.0,396,12626,2021-04-09,2.0
61,新界西,屯門南,兆安苑,定民閣 (E座),屯興路2號,十五樓,3室,5250000.0,672.0,7813.0,563,9325,2021-04-09,2.0
62,新界西,屯門市中心,2期,2座,屯隆街3號,高層,H室,4800000.0,456.0,10526.0,318,15094,2021-04-08,
63,新界西,兆康,聚康山莊,1座,屯貴路,高層,D室,5920000.0,577.0,10260.0,428,13832,2021-04-08,2.0
64,新界西,屯門新墟,,金寶大廈,青棉徑5號,中層,D室,3830000.0,420.0,9119.0,328,11677,2021-04-08,
65,新界西,置樂,恆豐園,3座,榮發里1號,中層,G室,6600000.0,781.0,8451.0,620,10645,2021-04-08,
66,新界西,屯門北,2期,10座,河興街10號,高層,C室,5600000.0,607.0,9226.0,464,12069,2021-04-08,2.0
67,新界西,屯門北,2期,8座,河興街8號,高層,E室,6980000.0,753.0,9270.0,587,11891,2021-04-08,3.0
68,新界西,置樂,恆豐園,1座,榮發里1號,8樓,H室,5800000.0,755.0,7682.0,593,9781,2021-04-08,
69,新界西,藍地,豫豐花園,11座,福亨村道8號,12樓,G室,5350000.0,599.0,8932.0,450,11889,2021-04-08,2.0
70,新界西,屯門新墟,,錦發大廈,井財街9號,十四樓,4室,3500000.0,407.0,8600.0,326,10736,2021-04-08,2.0
71,新界西,兆康,聚康山莊,5座,屯貴路,16樓,A室,5900000.0,578.0,10208.0,428,13785,2021-04-08,2.0
72,新界西,屯門碼頭,邁亞美海灣,5座,湖翠路268號,23樓,B室,5780000.0,611.0,9460.0,479,12067,2021-04-08,2.0
73,新界西,屯門南,南浪海灣,3座,恆富街23號,38樓,B室,7150000.0,735.0,9728.0,547,13071,2021-04-08,2.0
74,新界西,屯門市中心,怡峰園,3座,屯興路9號,10樓,H室,6050000.0,606.0,9983.0,526,11502,2021-04-08,
75,新界西,兆康,兆康苑,兆健閣 (F座),兆康路2-22號,三十一樓,6室,6000000.0,692.0,8671.0,568,10563,2021-04-08,3.0
76,新界西,屯門碼頭,美樂花園,6座,湖翠路2號,27樓,A室,6880000.0,784.0,8776.0,694,9914,2021-04-08,
77,新界西,屯門北,山景邨,景華樓 (4座),鳴琴路1號,32樓,B6室,2970000.0,,,287,10348,2021-04-08,
78,新界西,置樂,,金安大廈,青山公路青山灣段387號,十一樓,A室,3890000.0,367.0,10599.0,292,13322,2021-04-08,
79,新界西,屯門碼頭,海翠花園,3座,湖翠路168-236號,19樓,D室,6500000.0,734.0,8856.0,609,10673,2021-04-08,
80,新界西,屯門北,,兆邦苑,田景路38號,12樓,2室,3550000.0,496.0,7157.0,376,9441,2021-04-08,2.0
81,新界西,屯門市中心,2期,1座,屯隆街3號,21樓,D室,4960000.0,422.0,11754.0,318,15597,2021-04-08,
82,新界西,屯門南,兆麟苑,詠麟閣 (I座),兆興里3號,二十五樓,5室,5500000.0,710.0,7746.0,554,9928,2021-04-08,3.0
83,新界西,屯門北,寶怡花園,3座,良德街11號,3樓,A室,4750000.0,590.0,8051.0,480,9896,2021-04-08,2.0
84,新界西,屯門北,盈豐園,2座,良德街9號,11樓,B室,4650000.0,539.0,8627.0,390,11923,2021-04-08,2.0
85,新界西,屯門北,盈豐園,2座,良德街9號,5樓,G室,4300000.0,571.0,7531.0,415,10361,2021-04-08,
86,新界西,屯門南,新屯門中心,1座,龍門路55-65號,35樓,F室,5470000.0,547.0,10000.0,455,12022,2021-04-08,2.0
87,新界西,屯門北,1期,1座,石排頭徑1號,23樓,G室,6950000.0,644.0,10792.0,511,13601,2021-04-08,2.0
88,新界西,屯門新墟,,金寶大廈,青棉徑5號,九樓,B室,3580000.0,381.0,9396.0,308,11623,2021-04-08,
89,新界西,屯門北,海麗花園,2座,良德街12號,16樓,C室,5180000.0,565.0,9168.0,428,12103,2021-04-08,2.0
90,新界西,屯門南,南浪海灣,6座,恆富街23號,中層,A室,6788000.0,706.0,9615.0,524,12954,2021-04-07,2.0
91,新界西,屯門北,2期,8座,河興街8號,低層,F室,5200000.0,583.0,8919.0,447,11633,2021-04-07,2.0
92,新界西,屯門市中心,,城．點,啟發徑8號,中層,E室,4600000.0,,,231,19913,2021-04-07,
93,新界西,藍地,豫豐花園,11座,福亨村道8號,中層,F室,4895000.0,531.0,9218.0,396,12361,2021-04-07,2.0
94,新界西,屯門北,2期,3座,河興街3號,中層,G室,5368000.0,583.0,9208.0,447,12009,2021-04-07,2.0
95,新界西,屯門北,2期,6座,石排頭徑1號,中層,A室,7400000.0,680.0,10882.0,524,14122,2021-04-07,2.0
96,新界西,屯門南,兆麟苑,翠麟閣 (C座),兆興里3號,低層,5室,4500000.0,514.0,8755.0,401,11222,2021-04-07,3.0
97,新界西,屯門市中心,,城．點,啟發徑8號,低層,F室,4430000.0,,,220,20136,2021-04-07,
98,新界西,屯門北,兆畦苑,兆強閣 (A座),田景路2號,十九樓,13室,4550000.0,643.0,7076.0,489,9305,2021-04-07,2.0
99,新界西,屯門南,南浪海灣,5座,恆富街23號,25樓,B室,6750000.0,707.0,9547.0,524,12882,2021-04-07,2.0
100,新界西,兆康,聚康山莊,2座,屯貴路,13樓,A室,6100000.0,577.0,10572.0,428,14252,2021-04-07,2.0
101,新界西,屯門南,龍門居,2座,龍門路43號,15樓,A室,4560000.0,705.0,6468.0,592,7703,2021-04-07,3.0
102,新界西,屯門新墟,彩暉花園,E座,青山公路新墟段250號,3樓,5室,6300000.0,788.0,7995.0,684,9211,2021-04-07,
103,新界西,屯門北,1期,3座,震寰路11號,7樓,A室,5230000.0,544.0,9614.0,428,12220,2021-04-07,2.0
104,新界西,兆康,聚康山莊,1座,屯貴路,8樓,E室,5880000.0,577.0,10191.0,428,13738,2021-04-07,2.0
105,新界西,屯門市中心,2期,2座,屯隆街3號,10樓,H室,4830000.0,456.0,10592.0,318,15189,2021-04-07,
106,新界西,兆康,疊茵庭,6座,屯安里1號,4樓,D室,5380000.0,572.0,9406.0,389,13830,2021-04-07,2.0
107,新界西,屯門北,澤豐花園,澤民樓 (3座),青松觀路33號,25樓,D室,5280000.0,643.0,8212.0,577,9151,2021-04-07,3.0
108,新界西,屯門南,兆安苑,定賢閣 (G座),屯興路2號,七樓,2室,4638000.0,591.0,7848.0,495,9370,2021-04-07,2.0
109,新界西,屯門南,新屯門中心,7座,龍門路55-65號,38樓,D室,5780000.0,620.0,9323.0,501,11537,2021-04-07,2.0
110,新界西,屯門市中心,2期,8座,屯門鄉事會路83號,35樓,B室,8500000.0,,,485,17526,2021-04-07,2.0
111,新界西,屯門碼頭,兆禧苑,雅禧閣 (D座),湖翠路201號,十二樓,7室,4655000.0,567.0,8210.0,415,11217,2021-04-07,2.0
112,新界西,屯門北,2期,11座,河興街11號,高層,A室,6588000.0,704.0,9358.0,544,12110,2021-04-02,2.0
113,新界西,屯門南,翠寧花園,2座,豐安街2號,低層,K室,4930000.0,512.0,9629.0,431,11439,2021-04-02,3.0
114,新界西,屯門北,康德花園,3座,石排頭路11號,高層,D室,4650000.0,542.0,8579.0,412,11286,2021-04-01,2.0
115,新界西,置樂,置樂花園,樂俊苑 (5座),青海圍18號,中層,G室,4900000.0,587.0,8348.0,511,9589,2021-04-01,
116,新界西,屯門新墟,,菁雋,青棉徑2號,中層,32室,2500000.0,,,131,19084,2021-04-01,
117,新界西,屯門南,嘉悅半島,1座,恆貴街1號,低層,E室,6270000.0,638.0,9828.0,446,14058,2021-04-01,2.0
118,新界西,屯門碼頭,,䨇寓,湖安街8號,低層,SB室,4750000.0,,,275,17273,2021-04-01,
119,新界西,兆康,兆康苑,兆欣閣 (G座),兆康路2-22號,中層,1室,4980000.0,567.0,8783.0,466,10687,2021-04-01,2.0
120,新界西,屯門市中心,2期,8座,屯門鄉事會路83號,高層,K室,8650000.0,,,474,18249,2021-04-01,2.0
121,新界西,屯門新墟,,麗日閣,仁愛堂街1-43號,高層,B室,3750000.0,355.0,10563.0,257,14591,2021-04-01,2.0
122,新界西,屯門碼頭,,䨇寓,湖安街8號,高層,NE室,5660000.0,,,361,15679,2021-04-01,1.0
123,新界西,屯門北,1期,3座,石排頭徑1號,低層,C室,9430000.0,857.0,11004.0,679,13888,2021-04-01,3.0
124,新界西,置樂,彩華花園,D座,青山公路青山灣段351號,低層,1室,4880000.0,614.0,7948.0,536,9104,2021-04-01,3.0
125,新界西,屯門南,新屯門中心,7座,龍門路55-65號,高層,H室,7100000.0,750.0,9467.0,597,11893,2021-04-01,3.0
126,新界西,屯門碼頭,,䨇寓,湖安街8號,中層,SE室,4640000.0,,,304,15263,2021-04-01,
127,新界西,屯門碼頭,兆禧苑,雅禧閣 (D座),湖翠路201號,十五樓,9室,4350000.0,479.0,9081.0,351,12393,2021-04-01,1.0
128,新界西,藍地,豫豐花園,8座,福亨村道8號,15樓,B室,6500000.0,801.0,8115.0,594,10943,2021-04-01,3.0
129,新界西,兆康,茵翠豪庭,洋房 79,康寶路88號,地下,79號屋,7980000.0,1160.0,6879.0,795,10038,2021-04-01,3.0
130,新界西,屯門北,,珀御,良德街8號,11樓,G室,5420000.0,,,347,15620,2021-04-01,1.0
131,新界西,藍地,豫豐花園,7座,福亨村道8號,11樓,E室,6200000.0,767.0,8083.0,568,10915,2021-04-01,3.0
132,新界西,屯門新墟,1期,1A座,景秀里8號,31樓,H室,6967900.0,,,388,17959,2021-04-01,1.0
133,新界西,屯門南,龍門居,7座,龍門路43號,22樓,D室,4225000.0,576.0,7335.0,484,8729,2021-04-01,2.0
134,新界西,屯門南,新屯門中心,4座,龍門路55-65號,34樓,B室,5650000.0,555.0,10180.0,462,12229,2021-04-01,2.0
135,新界西,屯門市中心,,屯門中心大廈,仁政街7-35號,十四樓,16室,4868000.0,,,492,9894,2021-04-01,
136,新界西,屯門南,恆福花園,5座,青山公路青山灣段333號,中層,G室,6060000.0,662.0,9154.0,529,11456,2021-03-31,3.0
137,新界西,屯門南,恆福花園,1座,青山公路青山灣段333號,高層,G室,6000000.0,622.0,9646.0,529,11342,2021-03-31,3.0
138,新界西,屯門南,龍門居,4座,龍門路43號,低層,F室,4600000.0,705.0,6525.0,592,7770,2021-03-31,3.0
139,新界西,屯門北,2期,5座,石排頭徑1號,高層,C室,9850000.0,928.0,10614.0,713,13815,2021-03-31,3.0
140,新界西,屯門北,1期,1座,石排頭徑1號,低層,C室,9400000.0,857.0,10968.0,679,13844,2021-03-31,3.0
141,新界西,兆康,,倚嶺南庭,屯貴路3號,10樓,J室,6400000.0,788.0,8122.0,573,11169,2021-03-31,2.0
142,新界西,屯門南,新屯門中心,10座,龍門路55-65號,14樓,E室,6980000.0,750.0,9307.0,597,11692,2021-03-31,3.0
143,新界西,屯門市中心,1期,5座,屯門鄉事會路83號,36樓,B室,8580000.0,628.0,13662.0,487,17618,2021-03-31,2.0
144,新界西,藍地,豫豐花園,13座,福亨村道8號,18樓,H室,5150000.0,486.0,10597.0,361,14266,2021-03-31,2.0
145,新界西,屯門新墟,,菁雋,青棉徑2號,9樓,31室,2350000.0,,,128,18359,2021-03-31,
146,新界西,屯門新墟,2期,2B座,景秀里8號,28樓,J室,6090400.0,,,312,19521,2021-03-31,1.0
147,新界西,屯門新墟,偉景花園,B座,景峰徑3號,15樓,D室,4613400.0,525.0,8787.0,417,11063,2021-03-31,
148,新界西,藍地,豫豐花園,12座,福亨村道8號,12樓,H室,4888000.0,486.0,10058.0,362,13503,2021-03-31,2.0
149,新界西,屯門碼頭,美樂花園,8座,湖翠路2號,4樓,H室,5300000.0,677.0,7829.0,589,8998,2021-03-31,
150,新界西,屯門北,兆軒苑,逸生閣 (B座),良運街1號,二樓,7室,3700000.0,585.0,6325.0,443,8352,2021-03-31,2.0
151,新界西,屯門新墟,景峰花園,1座,景峰徑2號,11樓,J室,4650000.0,543.0,8564.0,480,9688,2021-03-31,
152,新界西,屯門碼頭,兆禧苑,安禧閣 (A座),湖翠路201號,四樓,7室,4298000.0,567.0,7580.0,415,10357,2021-03-31,2.0
153,新界西,屯門北,盈豐園,2座,良德街9號,34樓,G室,5000000.0,571.0,8757.0,415,12048,2021-03-31,
154,新界西,屯門南,恆福花園,4座,青山公路青山灣段333號,2樓,H室,4800000.0,554.0,8664.0,437,10984,2021-03-31,2.0
155,新界西,置樂,龍成花園,1座,青山公路青山灣段345號,9樓,C室,7330000.0,966.0,7588.0,668,10973,2021-03-31,3.0
156,新界西,屯門南,新屯門中心,10座,龍門路55-65號,15樓,C室,5900000.0,555.0,10631.0,462,12771,2021-03-31,2.0
157,新界西,屯門碼頭,美樂花園,7座,湖翠路2號,16樓,B室,5670000.0,679.0,8351.0,591,9594,2021-03-31,
158,新界西,置樂,恆豐園,1座,榮發里1號,2樓,E室,4880000.0,558.0,8746.0,436,11193,2021-03-31,
159,新界西,屯門南,,弦海,業旺路101號,26樓,F室,20548000.0,,,934,22000,2021-03-31,3.0
160,新界西,屯門南,兆安苑,定安閣 (H座),屯興路2號,十二樓,7室,4000000.0,672.0,5952.0,563,7105,2021-03-31,2.0
161,新界西,屯門南,兆安苑,定祐閣 (B座),屯興路2號,七樓,8室,5030000.0,672.0,7485.0,563,8934,2021-03-31,2.0
162,新界西,屯門市中心,,慧景閣,育康街8號,中層,A室,5900000.0,662.0,8912.0,471,12527,2021-03-30,2.0
163,新界西,屯門新墟,,金銘大廈,井財街15號,中層,D室,4300000.0,465.0,9247.0,385,11169,2021-03-30,2.0
164,新界西,屯門市中心,新都大廈,A座,屯利街2號,24樓,5室,5200000.0,588.0,8844.0,469,11087,2021-03-30,
165,新界西,屯門新墟,,玫瑰花園,青山公路新墟段133號,21樓,A室,5788000.0,645.0,8974.0,498,11622,2021-03-30,
166,新界西,屯門新墟,偉景花園,B座,景峰徑3號,11樓,A室,4200000.0,472.0,8898.0,378,11111,2021-03-30,
167,新界西,置樂,,嘉喜利大廈,青山公路青山灣段385號,十樓,B室,4000000.0,414.0,9662.0,316,12658,2021-03-30,2.0
168,新界西,屯門碼頭,兆山苑,榆景閣 (L座),湖山路2-26號,十四樓,8室,4730000.0,670.0,7060.0,546,8663,2021-03-30,2.0
169,新界西,屯門市中心,2期,8座,屯門鄉事會路83號,35樓,C室,8500000.0,,,484,17562,2021-03-30,2.0
170,新界西,屯門市中心,1期,1座,屯門鄉事會路83號,8樓,D室,7950000.0,626.0,12700.0,482,16494,2021-03-30,2.0
171,新界西,藍地,豫豐花園,9座,福亨村道8號,3樓,D室,5750000.0,767.0,7497.0,568,10123,2021-03-30,3.0
172,新界西,置樂,恆順園,5座,青山公路青山灣段362-388號,15 -16樓,D室,11000000.0,1308.0,8410.0,1081,10176,2021-03-30,
173,新界西,屯門新墟,景峰花園,4座,景峰徑2號,11樓,D室,4500000.0,462.0,9740.0,400,11250,2021-03-30,
174,新界西,兆康,兆康苑,兆榮閣 (H座),兆康路2-22號,三樓,7室,4420000.0,546.0,8095.0,449,9844,2021-03-30,2.0
175,新界西,屯門北,兆軒苑,順生閣 (A座),良運街1號,二十九樓,6室,4600000.0,585.0,7863.0,443,10384,2021-03-30,2.0
176,新界西,屯門碼頭,悅湖山莊,8座,湖秀街2號,25樓,H室,4180000.0,711.0,5879.0,592,7061,2021-03-30,3.0
177,新界西,屯門南,新屯門中心,6座,龍門路55-65號,30樓,A室,5680000.0,620.0,9161.0,501,11337,2021-03-30,2.0
178,新界西,屯門南,富健花園,4座,龍門路45號,5樓,F室,3980000.0,567.0,7019.0,484,8223,2021-03-30,
179,新界西,藍地,豫豐花園,12座,福亨村道8號,15樓,F室,4930000.0,531.0,9284.0,396,12449,2021-03-30,2.0
180,新界西,屯門碼頭,,䨇寓,湖安街8號,19樓,ND室,4750000.0,,,268,17724,2021-03-30,
181,新界西,屯門碼頭,兆山苑,樺景閣 (E座),湖山路2-26號,低層,8室,4780000.0,670.0,7134.0,546,8755,2021-03-29,2.0
182,新界西,兆康,疊茵庭,6座,屯安里1號,低層,D室,5380000.0,572.0,9406.0,389,13830,2021-03-29,2.0
183,新界西,屯門市中心,2期,6座,屯門鄉事會路83號,中層,B室,8580000.0,,,485,17691,2021-03-29,2.0
184,新界西,屯門南,恆福花園,3座,青山公路青山灣段333號,低層,A室,5150000.0,554.0,9296.0,437,11785,2021-03-29,2.0
185,新界西,屯門南,嘉悅半島,1座,恆貴街1號,9樓,G室,5880000.0,668.0,8802.0,463,12700,2021-03-29,2.0
186,新界西,屯門北,兆軒苑,順生閣 (A座),良運街1號,二十二樓,15室,4080000.0,537.0,7598.0,407,10025,2021-03-29,2.0
187,新界西,藍地,豫豐花園,10座,福亨村道8號,5樓,G室,5300000.0,599.0,8848.0,450,11778,2021-03-29,2.0
188,新界西,屯門北,海麗花園,2座,良德街12號,18樓,B室,5000000.0,565.0,8850.0,428,11682,2021-03-29,2.0
189,新界西,屯門市中心,錦華花園,B座,屯隆街1號,5樓,5室,5125000.0,483.0,10611.0,353,14518,2021-03-29,
190,新界西,置樂,恆豐園,2座,榮發里1號,16樓,B室,6600000.0,781.0,8451.0,620,10645,2021-03-29,
191,新界西,屯門南,恆福花園,3座,青山公路青山灣段333號,21樓,G室,5950000.0,662.0,8988.0,529,11248,2021-03-29,3.0
192,新界西,屯門北,2期,5座,石排頭徑1號,25樓,H室,7100000.0,678.0,10472.0,522,13602,2021-03-29,2.0
193,新界西,屯門南,海典軒,1座,海珠路2號,1樓,C室,6500000.0,649.0,10015.0,483,13458,2021-03-29,2.0
194,新界西,屯門南,龍門居,8座,龍門路43號,22樓,A室,3250000.0,568.0,5722.0,484,6715,2021-03-29,2.0
195,新界西,屯門市中心,2期,1座,屯隆街3號,21樓,B室,4910000.0,445.0,11034.0,326,15061,2021-03-29,
196,新界西,屯門北,建生邨,樂生樓 (3座),良運街3號,26樓,8室,1980000.0,,,385,5143,2021-03-29,
197,新界西,屯門南,新屯門中心,2座,龍門路55-65號,17樓,C室,5320000.0,555.0,9586.0,462,11515,2021-03-29,2.0
198,新界西,屯門南,龍門居,12座,龍門路43號,31樓,F室,5000000.0,505.0,9901.0,431,11601,2021-03-29,2.0
199,新界西,屯門市中心,康麗花園,2座,屯門鄉事會路153號,30樓,C室,6280000.0,636.0,9874.0,473,13277,2021-03-29,
200,新界西,屯門新墟,,嘉華大廈,青山公路新墟段11-17號,3樓,D室,3290000.0,301.0,10930.0,224,14688,2021-03-29,
201,新界西,屯門碼頭,悅湖山莊,14座,湖秀街2號,9樓,C室,5600000.0,711.0,7876.0,592,9459,2021-03-29,3.0
202,新界西,屯門北,2期,7座,石排頭徑1號,29樓,H室,7120000.0,680.0,10471.0,525,13562,2021-03-29,2.0
203,新界西,屯門市中心,3期,8座,屯仁街2號,低層,H室,5000000.0,500.0,10000.0,363,13774,2021-03-27,
204,新界西,兆康,聚康山莊,3座,屯貴路,高層,C室,6120000.0,571.0,10718.0,423,14468,2021-03-26,2.0
205,新界西,屯門碼頭,慧豐園,1座,湖翠路280號,中層,B室,5880000.0,650.0,9046.0,476,12353,2021-03-26,2.0
206,新界西,屯門南,兆安苑,定祐閣 (B座),屯興路2號,高層,2室,4600000.0,591.0,7783.0,495,9293,2021-03-26,2.0
207,新界西,屯門北,2期,5座,石排頭徑1號,高層,B室,8180000.0,679.0,12047.0,524,15611,2021-03-26,2.0
208,新界西,屯門市中心,1期,4座,屯順街1號,高層,C室,5488000.0,523.0,10493.0,369,14873,2021-03-26,
209,新界西,屯門新墟,,玫瑰花園,青山公路新墟段133號,低層,D室,4850000.0,548.0,8850.0,421,11520,2021-03-26,
210,新界西,屯門北,新圍苑,新順閣 (B座),田景路23號,低層,2室,5100000.0,711.0,7173.0,554,9206,2021-03-26,3.0
211,新界西,兆康,疊茵庭,7座,屯安里1號,高層,A室,5400000.0,564.0,9574.0,381,14173,2021-03-26,2.0
