,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 1,2000-12-14,H,3,,,B,1251,952,21000000,2021-01-07,2008-01-18,9680000,116.94,22.304434999999998,114.184404
1,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 18,2001-09-27,,2,,35,G,798,592,10500000,2021-01-06,2009-06-01,4500000,133.33,22.3072555,114.1934186
2,Kowloon,Kowloon City,Hung Hom,United Building,Lung To Court,1972-10-23,M,,,7,7,0,287,4000000,2021-01-06,2008-02-15,971000,311.95,22.306359999999998,114.18634
3,Kowloon,Kowloon City,Hung Hom,Bailey Garden,Block 1,1995-03-17,L,3,2,11,H,602,469,7280000,2021-01-06,2013-02-05,4380000,66.21000000000001,22.312623,114.189216
4,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 5,1986-12-12,L,2,2,6,C,469,389,6300000,2021-01-06,2000-09-16,1800000,250.0,22.3046529,114.189776
5,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Ka Fu Building(Blk Z),1978-04-17,L,2,2,4,2,450,321,5250000,2021-01-06,2012-09-06,2980000,76.17,22.3053955,114.188279
6,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 8,1989-12-27,M,3,2,7,B,750,639,10680000,2021-01-06,2017-10-04,9600000,11.25,22.3052925,114.1901835
7,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 5,1987-04-09,L,3,2,6,B,776,681,10000000,2021-01-05,,0,0.0,22.304781,114.186584
8,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 6,1991-01-09,L,3,2,2,A,825,729,10000000,2021-01-05,2013-11-05,7000000,42.86,22.306223,114.1907605
9,Kowloon,Kowloon City,Hung Hom,Baker Residences,Baker Residences,2011-07-29,H,,,23,A,370,252,3980000,2021-01-05,2012-03-22,2644000,50.53,22.306684,114.18361
10,Kowloon,Kowloon City,Hung Hom,Hung Wu Building,Hung Wu Building,1965-10-02,L,,,4,22,0,582,5500000,2021-01-05,2016-04-01,4030000,36.480000000000004,22.306753,114.187085
11,Kowloon,Kowloon City,Hung Hom,La Lumiere,La Lumiere,2016-06-28,H,2,,25,B,0,431,8080000,2021-01-04,2015-03-31,6845000,18.04,22.309492,114.18693
12,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 7,2002-08-06,M,2,,23,F,559,432,7800000,2021-01-04,2018-10-03,8700000,-10.34,22.302706999999998,114.186268
13,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,L,3,,15,A,918,677,10850000,2021-01-04,2012-12-28,8000000,35.63,22.3051441,114.1841015
14,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 01,1998-03-06,M,2,2,,F,684,538,9800000,2021-01-04,1997-04-21,6510000,50.54,22.307374,114.192233
15,Kowloon,Kowloon City,Hung Hom,29 To Kwa Wan Road,To Kwa Wan Road 29,1957-06-28,,,,,,0,733,6500000,2021-01-04,,0,0.0,,
16,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 8 ( C8 ),2000-04-20,M,2,2,17,G,682,545,9250000,2021-01-04,2014-02-11,6330000,46.13,22.3092395,114.191966
17,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 01,1987-04-09,H,3,2,,C,855,755,10650000,2021-01-04,,0,0.0,22.305236,114.186496
18,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 1,2002-08-06,L,3,,10,J,770,589,10100000,2021-01-04,2015-02-13,7800000,29.490000000000002,22.302909,114.187453
19,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 8,1988-06-16,M,2,2,7,E,577,503,8650000,2020-12-31,2012-09-14,5250000,64.76,22.30341,114.19017
20,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Yuen Wing Building(Blk K),1977-08-03,L,2,2,1,5,550,413,5300000,2020-12-31,,0,0.0,22.306766,114.188428
21,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 6,2002-08-06,L,2,,2,F,559,432,7830000,2020-12-31,2008-01-15,3705800,111.29,22.3034296,114.1858259
22,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 2,1987-12-09,M,3,2,10,A,746,652,10450000,2020-12-31,2006-06-03,3200000,226.56,22.303663,114.188974
23,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1C,2018-12-27,H,0,,28,E,0,241,4900000,2020-12-31,2015-11-25,4877000,0.47000000000000003,22.312962,114.18906
24,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 1,2000-12-14,L,2,,1,G,867,647,10000000,2020-12-30,2017-11-28,9650000,3.63,22.304434999999998,114.184404
25,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1B,2018-12-27,L,1,,6,J,0,322,5300000,2020-12-29,2015-09-30,4815000,10.07,22.312953999999998,114.189026
26,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 4,2000-12-14,M,3,,17,A,1236,920,17600000,2020-12-29,2012-07-20,11800000,49.15,22.3048599,114.1849127
27,Kowloon,Kowloon City,Hung Hom,La Lumiere,La Lumiere,2016-06-28,L,2,,5,C,0,423,7668000,2020-12-29,2015-04-15,6363000,20.51,22.309492,114.18693
28,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 12 ( C12 ),2000-04-20,H,2,2,26,D,722,578,10580000,2020-12-28,2017-04-13,9500000,11.370000000000001,22.308791,114.192453
29,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 8,1988-06-16,L,2,2,6,E,577,503,8400000,2020-12-28,2015-05-14,3000000,180.0,22.30341,114.19017
30,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,On Wah Building(Blk H),1977-01-04,H,2,2,15,7,520,381,5750000,2020-12-28,2011-05-20,3025000,90.08,22.3061616,114.188691
31,Kowloon,Kowloon City,Hung Hom,Shung Oi House,Shung Oi House,1973-06-15,L,,,2,F,0,462,4580000,2020-12-24,2013-10-31,1380000,231.88,,
32,Kowloon,Kowloon City,Hung Hom,Shung Fu Building,Shung Fu Building,1980-10-18,,,,19,C,0,254,4100000,2020-12-24,2013-02-22,2540000,61.42,22.312016999999997,114.18560000000001
33,Kowloon,Kowloon City,Hung Hom,Sunshine Plaza,Block 2,1991-01-21,M,3,2,,A,491,391,6300000,2020-12-24,2007-12-03,1650000,281.82,22.312099,114.18928700000001
34,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 09,1987-12-24,L,2,2,,H,577,503,7800000,2020-12-24,2000-07-04,2350000,231.91,22.303266999999998,114.190423
35,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 4,2002-08-06,L,3,,1,G,770,593,9800000,2020-12-24,2008-01-17,3926600,149.58,22.3033179,114.186666
36,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 09,1999-12-18,M,2,2,,B,702,561,10980000,2020-12-24,,0,0.0,22.3087606,114.1919875
37,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 3,2000-12-14,H,2,,31,A,1024,780,13380000,2020-12-23,2007-09-05,5150000,159.81,22.3050589,114.1846035
38,Kowloon,Kowloon City,Hung Hom,VIVA,VIVA,2016-11-03,L,1,,7,A,0,332,5600000,2020-12-23,2015-07-14,4676000,19.76,22.312654,114.18780000000001
39,Kowloon,Kowloon City,Hung Hom,Palatial Stand,Palatial Stand,2001-02-14,M,,,10,C,0,256,5200000,2020-12-23,2015-02-18,3980000,30.650000000000002,22.308517,114.184364
40,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 7,1989-08-29,M,3,2,10,F,1002,891,17600000,2020-12-23,,0,0.0,22.302612,114.190089
41,Kowloon,Kowloon City,Hung Hom,Wah Bo Building,Wah Bo Building,1984-11-22,L,,,,C,0,191,3600000,2020-12-23,2008-03-14,900000,300.0,22.306389,114.18665
42,Kowloon,Kowloon City,Hung Hom,VIVA,VIVA,2016-11-03,L,1,,6,C,0,339,5680000,2020-12-23,2015-07-14,5083000,11.75,22.312654,114.18780000000001
43,Kowloon,Kowloon City,Hung Hom,31 Winslow Street,31 Winslow Street,1959-04-28,,,,1,,0,539,3980000,2020-12-22,2013-03-07,2850000,39.65,,
44,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 17,2001-09-27,M,3,,18,C,1472,1100,23500000,2020-12-22,2001-03-08,9722000,141.72,22.3076085,114.193487
45,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 5,1986-12-12,M,2,2,11,D,469,389,7100000,2020-12-22,,0,0.0,22.3046529,114.189776
46,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Lok Wah Building(Blk I),1977-01-04,H,1,2,12,2,520,380,4880000,2020-12-22,2008-01-14,2080000,134.62,22.305939,114.188497
47,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1B,2018-12-27,M,0,,25,H,0,197,4350000,2020-12-21,,0,0.0,22.312953999999998,114.189026
48,Kowloon,Kowloon City,Hung Hom,Po Sun Mansion,Po Sun Mansion,1992-05-22,,,,14,C,0,418,6300000,2020-12-21,2016-09-29,5200000,21.150000000000002,22.30715,114.18542
49,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,L,3,,11,K,1365,1043,17760000,2020-12-21,2002-07-27,4839300,267.0,22.3051441,114.1841015
50,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 17,1987-04-03,H,2,2,15,B,469,389,7300000,2020-12-21,2000-10-18,1820000,301.1,22.3040371,114.189047
51,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 4,1989-08-29,H,3,2,13,H,692,617,10000000,2020-12-21,2004-03-24,2650000,277.36,22.302511,114.191159
52,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 12A,2000-04-20,H,3,2,,A,1384,1104,21800000,2020-12-21,,0,0.0,22.30901,114.192683
53,Kowloon,Kowloon City,Hung Hom,Golden Mansion,Golden Mansion,1982-09-23,L,,,4,A,0,358,4730000,2020-12-21,2016-09-06,3450000,37.1,22.308086,114.183495
54,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 1,1988-12-31,M,3,2,9,D,935,833,14830000,2020-12-21,2001-11-21,3280000,352.13,22.306321999999998,114.1918906
55,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Yuen Wah Building(Blk G),1976-11-12,M,3,2,10,4,650,490,7080000,2020-12-21,2011-01-06,3380000,109.47,22.306265,114.187979
56,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Yuen Fu Building(Blk S),1978-11-03,H,2,2,11,2,450,321,5850000,2020-12-18,2007-11-27,1500000,290.0,22.30612,114.18714299999999
57,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 7,2002-08-06,H,3,,34,D,770,589,11000000,2020-12-18,2016-08-08,7900000,39.24,22.302706999999998,114.186268
58,Kowloon,Kowloon City,Hung Hom,Hunghom Bay Centre,Block K,1979-09-17,,2,,,1,500,411,6780000,2020-12-18,2005-02-22,1800000,276.67,22.305357,114.186019
59,Kowloon,Kowloon City,Hung Hom,Po On Building,Po On Building,1970-07-17,L,,,2,A,0,353,2780000,2020-12-18,2017-06-23,2200000,26.36,22.308225999999998,114.1838
60,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 3,1998-03-06,H,2,2,26,A,664,527,8750000,2020-12-17,2006-03-11,3200000,173.44,22.3076975,114.1920005
61,Kowloon,Kowloon City,Hung Hom,21 Cooke Street,21 Cooke Street,1959-10-22,,,,1,,0,493,3900000,2020-12-17,,0,0.0,,
62,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,M,1,,23,D,680,520,8900000,2020-12-16,2017-10-26,8030000,10.83,22.3051441,114.1841015
63,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 3,2000-12-14,H,1,,38,F,618,464,8900000,2020-12-15,2018-02-22,9625000,-7.53,22.3050589,114.1846035
64,Kowloon,Kowloon City,Hung Hom,The Met. Focus,The Met. Focus,2013-11-15,M,,,17,B,340,221,4000000,2020-12-15,2012-03-20,3200000,25.0,22.3113718,114.1867346
65,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 3,2002-08-06,L,3,,,C,770,590,9900000,2020-12-15,2009-08-28,3990700,148.08,22.302142999999997,114.186877
66,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 9,1989-08-29,H,3,2,12,E,969,860,17480000,2020-12-15,2008-12-12,5900000,196.27,22.302367,114.190707
67,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1B,2018-12-27,H,0,,27,A,0,228,4360000,2020-12-15,2015-09-29,3913000,11.42,22.312953999999998,114.189026
68,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 1,1988-06-16,M,2,2,9,D,577,503,8000000,2020-12-15,2010-12-10,3968000,101.61,22.304230999999998,114.190439
69,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Kai Fu Building(Blk V),1978-11-03,M,2,2,7,2,450,321,5330000,2020-12-14,2016-09-26,4000000,33.25,22.305809999999997,114.187653
70,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 3,1989-08-29,L,3,2,2,G,688,614,8600000,2020-12-14,2011-02-18,4730000,81.82000000000001,22.3027474,114.1905444
71,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 6,2002-08-06,L,3,,7,D,770,589,9810000,2020-12-14,2014-10-13,7280000,34.75,22.3034296,114.1858259
72,Kowloon,Kowloon City,Hung Hom,Axis,Axis,2017-01-27,L,1,,7,C,0,246,4950000,2020-12-11,2015-06-04,4686840,5.61,22.313126,114.18743
73,Kowloon,Kowloon City,Hung Hom,Harbourfront Landmark,Block 3,2001-12-29,H,4,,65,B,2156,1580,50200000,2020-12-11,2006-07-13,25388000,97.73,22.303686,114.192548
74,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 9,1989-08-29,M,3,2,11,F,1002,891,18180000,2020-12-11,2007-09-28,7080000,156.78,22.302367,114.190707
75,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 10,1989-12-27,H,2,2,16,D,597,505,7900000,2020-12-11,2006-11-16,2328000,239.35,22.30548,114.189351
76,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1B,2018-12-27,H,1,,29,J,0,322,6455000,2020-12-11,2015-09-23,5760000,12.07,22.312953999999998,114.189026
77,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 2,1989-12-27,L,2,2,5,H,597,505,8120000,2020-12-10,2010-12-31,3790000,114.25,22.306210999999998,114.189903
78,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 12 ( C12 ),2000-04-20,L,2,2,3,A,683,546,9600000,2020-12-10,2010-04-19,4300000,123.26,22.308791,114.192453
79,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 16,2001-09-27,,3,,31,B,1472,1100,27000000,2020-12-10,2001-06-22,7834000,244.65,22.3079454,114.1935594
80,Kowloon,Kowloon City,Hung Hom,Upper East,Block 1A,2018-12-27,H,0,,27,M,0,194,2000000,2020-12-10,2015-10-16,4065000,-50.800000000000004,22.312914,114.18907
81,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 2,2002-08-06,M,2,,17,A,559,432,8280000,2020-12-10,2010-09-02,3880000,113.4,22.302522,114.18716
82,Kowloon,Kowloon City,Hung Hom,Cheong Lok Mansion,Cheong Lok Mansion,1966-02-18,M,,,5,C,0,336,2950000,2020-12-10,2008-02-19,830000,255.42000000000002,22.307688,114.18319
83,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 10 ( V V10 ),1999-12-18,L,2,2,5,G,744,592,9680000,2020-12-09,2012-03-07,6320000,53.160000000000004,22.3085265,114.1922856
84,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 14,1986-12-12,H,2,2,16,F,558,466,7780000,2020-12-09,2015-10-13,3400000,128.82,22.30451,114.188355
85,Kowloon,Kowloon City,Hung Hom,Chatham Gate,Block 2,2012-10-10,M,,,19,A,2050,1570,25650000,2020-12-09,2014-09-08,26304300,-2.49,22.310969999999998,114.186347
86,Kowloon,Kowloon City,Hung Hom,Axis,Axis,2017-01-27,M,1,,11,A,0,246,4900000,2020-12-09,2017-04-19,5124210,-4.38,22.313126,114.18743
87,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 3,2000-12-14,H,2,,32,A,1028,784,13600000,2020-12-09,2011-04-07,8380000,62.29,22.3050589,114.1846035
88,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 2,1986-09-24,H,2,2,15,G,469,389,7000000,2020-12-09,,0,0.0,22.305101,114.189089
89,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 4,1998-03-06,M,2,2,11,A,685,540,9380000,2020-12-09,2017-04-11,9200000,1.96,22.307975,114.1920765
90,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 8 ( C8 ),2000-04-20,L,2,2,5,G,682,545,8800000,2020-12-09,1999-05-03,3013000,192.07,22.3092395,114.191966
91,Kowloon,Kowloon City,Hung Hom,Kellet Court,Kellet Court,2008-02-01,L,,,11,B,518,296,4400000,2020-12-09,2011-07-04,2485000,77.06,22.307572999999998,114.182785
92,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 6,2002-08-06,M,2,,23,E,630,481,8880000,2020-12-09,2009-04-01,3088800,187.49,22.3034296,114.1858259
93,Kowloon,Kowloon City,Hung Hom,Wah Lai Mansion,Wah Lai Mansion,1978-08-03,H,,,13,E,0,325,3600000,2020-12-09,2011-05-24,1580000,127.85000000000001,22.306883,114.18311
94,Kowloon,Kowloon City,Hung Hom,Wah Lai Mansion,Wah Lai Mansion,1978-08-03,M,,,8,B,0,290,3380000,2020-12-08,2014-12-29,2510000,34.660000000000004,22.306883,114.18311
95,Kowloon,Kowloon City,Hung Hom,Hung Hom Gardens,Block 2,1990-12-21,M,2,,10,A,481,386,5400000,2020-12-08,,0,0.0,22.309683,114.1871
96,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Kai Fu Building(Blk V),1978-11-03,L,2,2,5,5,650,321,5280000,2020-12-08,2002-12-04,900000,486.67,22.305809999999997,114.187653
97,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 8,1988-06-16,H,2,2,16,A,578,503,7500000,2020-12-08,2002-12-30,1480000,406.76,22.30341,114.19017
98,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 15A ( C15A ),2000-04-20,M,2,2,11,F,702,561,10000000,2020-12-07,2009-04-29,4080000,145.1,22.3087421,114.192997
99,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 3,1989-08-29,M,3,2,7,B,688,614,9850000,2020-12-07,,0,0.0,22.3027474,114.1905444
100,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 12,1989-12-27,H,2,2,13,E,551,470,8100000,2020-12-07,2013-08-22,5270000,53.7,22.305208,114.189787
101,Kowloon,Kowloon City,Hung Hom,Sang On Building,Sang On Building,1973-03-10,M,,,8,E,0,309,3680000,2020-12-07,,0,0.0,22.307807999999998,114.183945
102,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 6,2002-08-06,H,2,,33,E,630,481,8890000,2020-12-07,2015-02-26,6000000,48.17,22.3034296,114.1858259
103,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 5,2002-08-06,H,3,,32,H,770,590,10700000,2020-12-07,2009-05-18,4378500,144.38,22.3033429,114.1862601
104,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 5,1998-03-06,H,2,2,21,D,510,404,7700000,2020-12-07,2012-03-05,4050000,90.12,22.307914999999998,114.1923645
105,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 6,1986-09-24,M,2,2,11,B,558,466,8108000,2020-12-07,2014-03-21,4950000,63.800000000000004,22.30502,114.1887549
106,Kowloon,Kowloon City,Hung Hom,The Met. Focus,The Met. Focus,2013-11-15,M,,,19,D,367,241,4480000,2020-12-04,2017-12-21,4060000,10.34,22.3113718,114.1867346
107,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 6,1986-09-24,M,2,2,9,D,469,389,6800000,2020-12-04,,0,0.0,22.30502,114.1887549
108,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 2,1985-12-05,M,3,2,11,C,859,777,11300000,2020-12-04,2006-08-14,3580000,215.64000000000001,22.305317,114.187802
109,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 1,1988-12-31,H,3,2,16,B,686,607,8680000,2020-12-04,2011-10-14,4500000,92.89,22.306321999999998,114.1918906
110,Kowloon,Kowloon City,Hung Hom,Tak Man Building,Tak Man Building,1984-01-31,H,2,2,15,F,412,314,5200000,2020-12-04,2003-09-18,800000,550.0,22.306227,114.18832
111,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Lok Wing Building(Blk M),1977-08-03,L,2,2,1,2,550,398,5000000,2020-12-04,2016-01-27,4800000,4.17,22.306793,114.188993
112,Kowloon,Kowloon City,Hung Hom,72-94 Wing Kwong Street,Block 11,1958-10-01,M,,,4,,0,722,7834000,2020-12-03,,0,0.0,,
113,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,L,1,,11,N,658,481,8399999,2020-12-03,2008-04-02,3700000,127.03,22.3051441,114.1841015
114,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 18,2001-09-27,,3,,38,H,1212,913,16750000,2020-12-03,2003-07-02,4200000,298.81,22.3072555,114.1934186
115,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 8 ( C8 ),2000-04-20,H,2,2,21,F,682,545,9480000,2020-12-03,2012-04-19,5750000,64.87,22.3092395,114.191966
116,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 4,2000-12-14,H,2,,28,F,738,564,11000000,2020-12-03,2019-06-18,2750000,300.0,22.3048599,114.1849127
117,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 8 ( C8 ),2000-04-20,L,2,2,5,F,682,545,8800000,2020-12-03,1999-04-29,3013000,192.07,22.3092395,114.191966
118,Kowloon,Kowloon City,Hung Hom,Chatham Gate,Block 1,2012-10-10,L,2,,11,D,941,708,12250000,2020-12-02,2012-02-17,9541700,28.38,22.311187999999998,114.186065
119,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 3,1986-12-24,L,3,2,4,F,855,755,10000000,2020-12-02,2007-09-13,3800000,163.16,22.3044946,114.1875979
120,Kowloon,Kowloon City,Hung Hom,Wing Fai Mansion,Block 2,1994-05-05,M,2,2,14,D,434,316,5800000,2020-12-02,1997-03-18,2030000,185.71,22.313385,114.18945
121,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 4,1989-08-29,L,3,2,2,B,688,614,9000000,2020-12-02,2016-05-05,6500000,38.46,22.302511,114.191159
122,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 5,2002-08-06,L,3,,4,D,770,589,9250000,2020-12-02,2009-06-18,3710000,149.33,22.3033429,114.1862601
123,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Lok Kwai Building(Blk D),1976-08-11,M,2,2,8,4,650,442,6500000,2020-12-02,1999-10-06,1980000,228.28,22.30668,114.187756
124,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 10,1986-12-12,H,2,2,14,H,469,389,7280000,2020-12-01,2008-02-14,2850000,155.44,22.3044071,114.1893161
125,Kowloon,Kowloon City,Hung Hom,United Building,Yin On Court,1972-10-23,L,,,3,18,0,370,4480000,2020-12-01,,0,0.0,22.306072,114.1864
126,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 7,2002-08-06,M,3,,22,H,770,590,10000000,2020-12-01,2009-04-01,3820300,161.76,22.302706999999998,114.186268
127,Kowloon,Kowloon City,Hung Hom,Wing Fai Mansion,Block 1,1994-05-05,M,2,2,12,C,427,316,4500000,2020-12-01,2015-06-05,3980000,13.07,22.313200000000002,114.189514
128,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 7,2002-08-06,L,3,,7,H,770,590,10000000,2020-12-01,2008-01-16,4975200,101.0,22.302706999999998,114.186268
129,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 25,2001-12-05,M,2,,18,G,800,595,10200000,2020-12-01,2004-10-20,3720000,174.19,22.3065854,114.1932905
130,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 13,1989-12-27,M,3,2,8,F,750,639,10800000,2020-11-30,1997-08-30,6800000,58.82,22.3050626,114.1899775
131,Kowloon,Kowloon City,Hung Hom,Whampoa Estate,Ho Fu Building(Blk X),1978-04-17,H,2,2,14,2,450,321,5725000,2020-11-30,2010-08-16,2300000,148.91,22.305621,114.187935
132,Kowloon,Kowloon City,Hung Hom,8A-10 Pak Kung Street,8A-10 Pak Kung Street,1965-04-22,L,,,3,,0,648,5350000,2020-11-30,,0,0.0,22.311031,114.18724
133,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,L,0,,6,E,481,370,6730000,2020-11-30,2013-09-09,2000000,236.5,22.3051441,114.1841015
134,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 4,1989-08-29,L,3,2,2,C,688,614,8880000,2020-11-27,2011-04-11,4900000,81.22,22.302511,114.191159
135,Kowloon,Kowloon City,Hung Hom,29-31 Walker Road,29-31 Walker Road,1963-05-29,L,,,2,2,0,283,2640000,2020-11-27,2005-05-28,446800,490.87,22.308455,114.184654
136,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 1,2000-12-14,L,2,,11,G,867,649,11500000,2020-11-27,2016-12-12,9200000,25.0,22.304434999999998,114.184404
137,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 07,1991-01-09,M,3,2,,A,898,797,11900000,2020-11-27,,0,0.0,22.305895,114.191159
138,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 8,1989-12-27,H,2,2,16,C,597,505,7470000,2020-11-26,,0,0.0,22.3052925,114.1901835
139,Kowloon,Kowloon City,Hung Hom,Wuhu Residence,Wuhu Residence,2011-11-23,L,,,7,B,357,246,4050000,2020-11-26,2010-09-10,2761850,46.64,22.307427999999998,114.18548
140,Kowloon,Kowloon City,Hung Hom,Carlton Court,Carlton Court,1999-06-16,H,3,,29,D,1315,1054,16880000,2020-11-26,2011-09-19,9135000,84.78,22.309675,114.187386
141,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 9,1987-12-24,M,2,2,11,A,577,503,8680000,2020-11-26,2013-02-25,5800000,49.660000000000004,22.303266999999998,114.190423
142,Kowloon,Kowloon City,Hung Hom,Harbour Place,Block 3,2002-08-06,H,3,,34,J,770,589,11130000,2020-11-26,2019-11-13,11880000,-6.3100000000000005,22.302142999999997,114.186877
143,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 4,1989-12-27,H,2,2,14,H,597,505,8580000,2020-11-25,,0,0.0,22.3059125,114.1903546
144,Kowloon,Kowloon City,Hung Hom,Royal Peninsula,Block 2,2000-12-14,H,2,,37,C,1026,778,13750000,2020-11-25,2017-11-14,12800000,7.42,22.3051441,114.1841015
145,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 2,1987-12-09,M,3,2,7,C,743,647,9500000,2020-11-25,2007-04-25,3580000,165.36,22.303663,114.188974
146,Kowloon,Kowloon City,Hung Hom,Laguna Verde,Tower 20,2001-09-27,M,3,,12,D,1137,851,15200000,2020-11-25,2000-10-19,4433000,242.88,22.3077196,114.1928605
147,Kowloon,Kowloon City,Hung Hom,Whampoa Garden,Block 6,1986-09-24,M,2,2,8,C,469,389,7000000,2020-11-25,2015-06-23,5720000,22.38,22.30502,114.1887549
